unique_id,supplier,location,day,time,measurement,today,value,units
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-01,46.11,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-02,47.27,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-03,49.24,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-04,47.3,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-05,48.56,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-06,48.55,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-07,45.49,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-08,48.49,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-09,41.14,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-10,38.8,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-11,42.2,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-12,57.92,MGD
WSSC Patuxent Reservoirs,WSSC,Patuxent Reservoirs,yesterday,NA,daily average withdrawals,2017-08-13,55.85,MGD
