agency,site,date_time,flow,comments
USGS,goose,2017-10-20T00:00:00Z,50,
USGS,goose,2017-10-21T00:00:00Z,55.6,
USGS,goose,2017-10-22T00:00:00Z,55,
USGS,goose,2017-10-23T00:00:00Z,55.8,
USGS,goose,2017-10-24T00:00:00Z,102,
USGS,goose,2017-10-25T00:00:00Z,129,
USGS,goose,2017-10-26T00:00:00Z,104,
USGS,goose,2017-10-27T00:00:00Z,80.5,
USGS,goose,2017-10-28T00:00:00Z,73.1,
USGS,goose,2017-10-29T00:00:00Z,85.8,
USGS,goose,2017-10-30T00:00:00Z,589,
USGS,goose,2017-10-31T00:00:00Z,296,
USGS,goose,2017-11-01T00:00:00Z,172,
USGS,goose,2017-11-02T00:00:00Z,131,
USGS,goose,2017-11-03T00:00:00Z,112,
USGS,goose,2017-11-04T00:00:00Z,102,
USGS,goose,2017-11-05T00:00:00Z,155,
USGS,goose,2017-11-06T00:00:00Z,180,
USGS,goose,2017-11-07T00:00:00Z,202,
USGS,goose,2017-11-08T00:00:00Z,531,
USGS,goose,2017-11-09T00:00:00Z,330,
USGS,goose,2017-11-10T00:00:00Z,249,
USGS,goose,2017-11-11T00:00:00Z,195,
USGS,goose,2017-11-12T00:00:00Z,167,
USGS,goose,2017-11-13T00:00:00Z,163,
USGS,goose,2017-11-14T00:00:00Z,160,
USGS,goose,2017-11-15T00:00:00Z,142,
USGS,goose,2017-11-16T00:00:00Z,132,
USGS,goose,2017-11-17T00:00:00Z,125,
USGS,goose,2017-11-18T00:00:00Z,116,
USGS,goose,2017-11-19T00:00:00Z,115,
USGS,goose,2017-11-20T00:00:00Z,110,
USGS,goose,2017-11-21T00:00:00Z,102,
USGS,goose,2017-11-22T00:00:00Z,97.7,
USGS,goose,2017-11-23T00:00:00Z,94.6,
USGS,goose,2017-11-24T00:00:00Z,89.9,
USGS,goose,2017-11-25T00:00:00Z,88.8,
USGS,goose,2017-11-26T00:00:00Z,88,
USGS,goose,2017-11-27T00:00:00Z,85.7,
USGS,goose,2017-11-28T00:00:00Z,82.8,
USGS,goose,2017-11-29T00:00:00Z,82.7,
USGS,goose,2017-11-30T00:00:00Z,80.9,
USGS,goose,2017-12-01T00:00:00Z,79.2,
USGS,goose,2017-12-02T00:00:00Z,79,
USGS,goose,2017-12-03T00:00:00Z,76.6,
USGS,goose,2017-12-04T00:00:00Z,77,
USGS,goose,2017-12-05T00:00:00Z,79.3,
USGS,goose,2017-12-06T00:00:00Z,77.8,
USGS,mon_jug,2017-05-01T00:00:00Z,663,
USGS,mon_jug,2017-05-02T00:00:00Z,610,
USGS,mon_jug,2017-05-03T00:00:00Z,559,
USGS,mon_jug,2017-05-04T00:00:00Z,512,
USGS,mon_jug,2017-05-05T00:00:00Z,4160,
